Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
CSRNP2	ENST00000228515.1	cysteine-serine-rich nuclear protein 2 	104	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0031	0.0228	0.1541	-0.11	-0.12	0.35	2009, 2011
FZD4	ENST00000531380.1	frizzled family receptor 4 	5	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0091	0.0652	0.3988	-0.10	-0.10	0.53	2011
SYNJ2BP	ENST00000256366.4	synaptojanin 2 binding protein 	329	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0099	0.0714	0.4487	-0.10	-0.15	0.35	2011
ATG2B	ENST00000359933.4	autophagy related 2B 	146	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0094	0.0683	0.4615	-0.10	-0.10	0.36	2005, 2007, 2009, 2011
ADAT2	ENST00000606514.1	adenosine deaminase, tRNA-specific 2 	303	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0041	0.0296	0.1979	-0.10	-0.11	0.36	2009, 2011
PPAP2B	ENST00000371250.3	phosphatidic acid phosphatase type 2B 	81	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0035	0.0252	0.1644	-0.10	-0.10	0.35	NULL
ARAP2	ENST00000303965.4	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 	121	1	1	0	0	1	0	0	1	1	hsa-miR-375	0.0129	0.0928	0.5831	-0.10	-0.10	0.28	NULL
KLLN	ENST00000445946.3	killin, p53-regulated DNA replication inhibitor 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0046	0.0339	0.2283	-0.10	-0.10	0.35	2011
SYPL2	ENST00000369872.3	synaptophysin-like 2 	69	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0032	0.0230	0.1522	-0.10	-0.10	0.34	2007
SCN2B	ENST00000278947.5	sodium channel, voltage-gated, type II, beta subunit 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0058	0.0410	0.2400	-0.10	-0.10	0.35	2009, 2011
AKAP1	ENST00000337714.3	A kinase (PRKA) anchor protein 1 	843	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0036	0.0265	0.1868	-0.10	-0.10	0.36	2005, 2007
C15orf54	ENST00000318578.3	chromosome 15 open reading frame 54 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0025	0.0184	0.1305	-0.09	-0.09	0.36	2009, 2011
PDPK1	ENST00000441549.3	3-phosphoinositide dependent protein kinase-1 	104	1	0	0	1	2	0	0	2	0	hsa-miR-375	0.0129	0.0926	0.5743	-0.09	-0.10	0.46	2005, 2007, 2009, 2011
AHR	ENST00000242057.4	aryl hydrocarbon receptor 	25	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0085	0.0607	0.3520	-0.09	-0.09	0.35	2005, 2007, 2009, 2011
DPY19L3	ENST00000586987.1	dpy-19-like 3 (C. elegans) 	146	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0033	0.0238	0.1626	-0.09	-0.09	< 0.1	NULL
ATXN7L1	ENST00000419735.3	ataxin 7-like 1 	67	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0104	0.0746	0.4647	-0.09	-0.10	0.35	NULL
MSI1	ENST00000257552.2	musashi RNA-binding protein 1 	287	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0049	0.0349	0.2126	-0.09	-0.09	0.34	NULL
AEBP2	ENST00000266508.9	AE binding protein 2 	1228	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0087	0.0626	0.4034	-0.09	-0.09	0.36	2005, 2007, 2009, 2011
NR5A2	ENST00000367362.3	nuclear receptor subfamily 5, group A, member 2 	121	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0116	0.0826	0.4995	-0.09	-0.09	0.36	2007, 2011
RP11-1055B8.7	ENST00000307745.7	BAH and coiled-coil domain-containing protein 1  	247	1	1	0	0	0	0	0	0	0	hsa-miR-375	0.0156	0.1062	0.5087	-0.09	-0.09	< 0.1	2011
KIAA1199	ENST00000220244.3	KIAA1199 	660	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0062	0.0441	0.2648	-0.09	-0.09	0.35	2011
MAPRE2	ENST00000436190.2	microtubule-associated protein, RP/EB family, member 2 	361	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0060	0.0437	0.2973	-0.09	-0.09	0.35	NULL
CTBP2	ENST00000337195.5	C-terminal binding protein 2 	16	1	0	0	1	2	0	0	2	1	hsa-miR-375	0.0099	0.0721	0.4834	-0.09	-0.14	0.57	2009, 2011
ZFHX4	ENST00000521891.2	zinc finger homeobox 4 	194	2	0	0	2	0	0	0	0	1	hsa-miR-375	0.0163	0.1182	0.7694	-0.09	-0.09	0.58	2007, 2009, 2011
ABI2	ENST00000295851.5	abl-interactor 2 	877	2	0	0	2	3	0	1	2	5	hsa-miR-375	0.0082	0.0585	0.3550	-0.09	-0.18	0.65	2009, 2011
STX7	ENST00000367941.2	syntaxin 7 	1395	1	0	0	1	0	0	0	0	4	hsa-miR-375	0.0053	0.0384	0.2512	-0.09	-0.12	0.36	NULL
MLK4	ENST00000366624.3	Mitogen-activated protein kinase kinase kinase MLK4  	405	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0049	0.0358	0.2386	-0.09	-0.09	0.36	2009, 2011
PDE11A	ENST00000286063.6	phosphodiesterase 11A 	7	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0122	0.0885	0.5802	-0.09	-0.09	0.40	2007, 2009
EHMT1	ENST00000460843.1	euchromatic histone-lysine N-methyltransferase 1 	22	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0049	0.0354	0.2245	-0.09	-0.12	0.36	2005, 2007, 2009, 2011
SHANK3	ENST00000414786.2	SH3 and multiple ankyrin repeat domains 3 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0087	0.0612	0.3286	-0.09	-0.09	0.35	NULL
ELAVL3	ENST00000359227.3	ELAV like neuron-specific RNA binding protein 3 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0083	0.0604	0.3989	-0.09	-0.09	0.35	2011
NFIA	ENST00000403491.3	nuclear factor I/A 	5	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0147	0.1066	0.6925	-0.09	-0.09	0.34	NULL
GPATCH2L	ENST00000553588.1	G patch domain containing 2-like 	96	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0093	0.0661	0.3805	-0.08	-0.10	0.36	NULL
DIP2C	ENST00000280886.6	DIP2 disco-interacting protein 2 homolog C (Drosophila) 	359	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0136	0.0971	0.5802	-0.08	-0.11	0.38	2007, 2011
PATZ1	ENST00000405309.3	POZ (BTB) and AT hook containing zinc finger 1 	165	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0035	0.0257	0.1726	-0.08	-0.08	< 0.1	NULL
RNASEH2B	ENST00000336617.3	ribonuclease H2, subunit B 	131	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0015	0.0112	0.0738	-0.08	-0.15	0.34	NULL
SYTL3	ENST00000367081.3	synaptotagmin-like 3 	16	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0031	0.0223	0.1424	-0.08	-0.15	0.36	NULL
MSL2	ENST00000309993.2	male-specific lethal 2 homolog (Drosophila) 	175	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0031	0.0225	0.1457	-0.08	-0.08	0.35	2007
BMPR2	ENST00000374574.2	bone morphogenetic protein receptor, type II (serine/threonine kinase) 	287	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0096	0.0684	0.4174	-0.08	-0.14	0.36	2009, 2011
GREB1L	ENST00000580732.2	growth regulation by estrogen in breast cancer-like 	30	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0162	0.1166	0.7334	-0.08	-0.08	0.48	NULL
DNAJC16	ENST00000375847.3	DnaJ (Hsp40) homolog, subfamily C, member 16 	366	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0092	0.0652	0.3857	-0.08	-0.09	0.36	2007, 2009, 2011
RTF1	ENST00000389629.4	Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) 	1869	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0060	0.0430	0.2723	-0.08	-0.09	0.35	2007, 2011
B3GAT2	ENST00000230053.6	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) 	39	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0107	0.0747	0.3906	-0.08	-0.10	0.35	NULL
ARL4C	ENST00000390645.2	ADP-ribosylation factor-like 4C 	84	1	1	0	0	0	0	0	0	0	hsa-miR-375	0.0023	0.0169	0.1130	-0.07	-0.07	< 0.1	2007, 2009, 2011
SOCS4	ENST00000395472.2	suppressor of cytokine signaling 4 	336	1	0	0	1	2	0	0	2	2	hsa-miR-375	0.0144	0.1021	0.5991	-0.07	-0.12	0.41	2011
NBEA	ENST00000379939.2	neurobeachin 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0059	0.0424	0.2650	-0.07	-0.07	0.35	2011
VTI1A	ENST00000393077.2	vesicle transport through interaction with t-SNAREs 1A 	376	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0044	0.0322	0.2181	-0.07	-0.10	0.36	2007, 2009, 2011
PTPN3	ENST00000412145.1	protein tyrosine phosphatase, non-receptor type 3 	374	1	0	0	1	1	0	0	1	3	hsa-miR-375	0.0112	0.0802	0.4962	-0.07	-0.08	0.40	2011
ZRANB1	ENST00000359653.4	zinc finger, RAN-binding domain containing 1 	724	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0075	0.0538	0.3372	-0.07	-0.07	0.36	2007, 2009, 2011
ATXN1	ENST00000244769.4	ataxin 1 	106	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0100	0.0719	0.4580	-0.07	-0.10	0.45	2005, 2007, 2009, 2011
C7orf60	ENST00000297145.4	chromosome 7 open reading frame 60 	39	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0052	0.0376	0.2521	-0.07	-0.12	0.34	2007, 2009, 2011
SOX12	ENST00000342665.2	SRY (sex determining region Y)-box 12 	6341	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0040	0.0288	0.1849	-0.07	-0.07	0.36	2005, 2007, 2009, 2011
SEMA6D	ENST00000355997.3	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D 	179	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0105	0.0765	0.5015	-0.07	-0.07	< 0.1	NULL
TSC1	ENST00000298552.3	tuberous sclerosis 1 	838	1	0	0	1	2	0	0	2	3	hsa-miR-375	0.0156	0.1140	0.7700	-0.07	-0.07	0.47	2011
CCND2	ENST00000261254.3	cyclin D2 	66	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0036	0.0266	0.1815	-0.07	-0.08	0.36	NULL
PRPF4B	ENST00000337659.6	pre-mRNA processing factor 4B 	602	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0071	0.0517	0.3389	-0.07	-0.07	0.35	2005, 2007, 2011
PDE3A	ENST00000359062.3	phosphodiesterase 3A, cGMP-inhibited 	1182	1	0	0	1	2	0	1	1	1	hsa-miR-375	0.0112	0.0813	0.5262	-0.07	-0.09	0.56	NULL
MBNL1	ENST00000357472.3	muscleblind-like splicing regulator 1 	135	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0084	0.0617	0.4239	-0.07	-0.07	0.36	2005, 2007, 2009, 2011
TBC1D9	ENST00000442267.2	TBC1 domain family, member 9 (with GRAM domain) 	200	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0030	0.0217	0.1367	-0.07	-0.16	0.36	2007
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0114	0.0832	0.5682	-0.07	-0.07	0.36	NULL
ATG14	ENST00000247178.5	autophagy related 14 	25	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0013	0.0099	0.0693	-0.06	-0.13	0.36	2009
TRPS1	ENST00000395715.3	trichorhinophalangeal syndrome I 	94	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0080	0.0581	0.3910	-0.06	-0.06	0.36	2005, 2007, 2009, 2011
FRRS1	ENST00000287474.5	ferric-chelate reductase 1 	97	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0016	0.0114	0.0793	-0.06	-0.11	0.35	NULL
SOX21	ENST00000376945.2	SRY (sex determining region Y)-box 21 	6	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0028	0.0206	0.1437	-0.06	-0.07	0.36	2005, 2007, 2009, 2011
MYO9A	ENST00000564571.1	myosin IXA 	137	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0200	0.1443	0.9267	-0.06	-0.11	0.59	NULL
RBM48	ENST00000481551.1	RNA binding motif protein 48 	220	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0049	0.0360	0.2394	-0.06	-0.14	0.35	NULL
CEP41	ENST00000223208.5	centrosomal protein 41kDa 	346	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0027	0.0198	0.1351	-0.06	-0.13	0.58	2007
ENAH	ENST00000366844.3	enabled homolog (Drosophila) 	415	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0078	0.0563	0.3684	-0.06	-0.06	0.36	2005, 2007, 2009, 2011
JUND	ENST00000252818.3	jun D proto-oncogene 	13688	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0005	0.0036	0.0263	-0.06	-0.06	0.36	2005, 2007, 2009, 2011
CREBZF	ENST00000398294.2	CREB/ATF bZIP transcription factor 	1115	1	0	0	1	2	0	0	2	0	hsa-miR-375	0.0017	0.0125	0.0853	-0.06	-0.19	0.40	2007, 2011
KLHL9	ENST00000359039.4	kelch-like family member 9 	222	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0073	0.0533	0.3520	-0.06	-0.06	0.35	2009
NR6A1	ENST00000487099.2	nuclear receptor subfamily 6, group A, member 1 	1082	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0106	0.0764	0.4863	-0.05	-0.05	0.36	NULL
MIER3	ENST00000381226.3	mesoderm induction early response 1, family member 3 	112	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0079	0.0575	0.3697	-0.05	-0.07	0.34	2007
TNPO3	ENST00000393245.1	transportin 3 	30	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0088	0.0635	0.4075	-0.05	-0.09	0.36	2011
LPHN1	ENST00000340736.6	latrophilin 1 	49	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0053	0.0384	0.2548	-0.05	-0.08	0.36	2009, 2011
CYP7B1	ENST00000310193.3	cytochrome P450, family 7, subfamily B, polypeptide 1 	53	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0054	0.0394	0.2665	-0.05	-0.06	0.35	NULL
PTPN4	ENST00000263708.2	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte) 	215	1	1	0	0	0	0	0	0	1	hsa-miR-375	0.0101	0.0716	0.4136	-0.05	-0.05	< 0.1	2009, 2011
PLXNA4	ENST00000321063.4	plexin A4 	9	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0070	0.0506	0.3310	-0.05	-0.09	0.54	2009, 2011
NLK	ENST00000407008.3	nemo-like kinase 	61	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0016	0.0120	0.0780	-0.05	-0.16	0.35	2005, 2007, 2011
TMEM65	ENST00000297632.6	transmembrane protein 65 	769	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0045	0.0328	0.2118	-0.05	-0.13	0.36	2007, 2009, 2011
DST	ENST00000312431.6	dystonin 	439	1	0	0	1	4	0	0	4	4	hsa-miR-375	0.0481	0.3480	2.2556	-0.05	-0.05	< 0.1	NULL
MLLT1	ENST00000252674.7	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 	33	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0022	0.0158	0.0992	-0.05	-0.09	0.35	2009, 2011
MPP5	ENST00000261681.4	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) 	354	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0080	0.0583	0.3870	-0.05	-0.12	0.50	2005, 2007, 2011
FKBP5	ENST00000536438.1	FK506 binding protein 5 	32	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0078	0.0571	0.3917	-0.05	-0.05	0.57	NULL
ANGEL2	ENST00000535388.1	angel homolog 2 (Drosophila) 	218	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0021	0.0153	0.1068	-0.04	-0.16	0.54	NULL
SFXN1	ENST00000321442.5	sideroflexin 1 	1018	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0043	0.0304	0.1720	-0.04	-0.13	0.36	NULL
FAM168B	ENST00000409185.1	family with sequence similarity 168, member B 	122	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0018	0.0132	0.0919	-0.04	-0.11	0.36	NULL
MBNL3	ENST00000370839.3	muscleblind-like splicing regulator 3 	593	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0170	0.1209	0.7198	-0.04	-0.05	0.36	2011
LDLRAD4	ENST00000399848.3	low density lipoprotein receptor class A domain containing 4 	314	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0060	0.0437	0.2896	-0.04	-0.10	0.56	2011
GRM5	ENST00000418177.2	glutamate receptor, metabotropic 5 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0071	0.0519	0.3453	-0.04	-0.04	0.36	2011
BNC2	ENST00000380672.4	basonuclin 2 	770	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0059	0.0432	0.2945	-0.04	-0.06	0.40	2009, 2011
SETBP1	ENST00000282030.5	SET binding protein 1 	77	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0056	0.0410	0.2692	-0.04	-0.05	0.34	NULL
SLC4A4	ENST00000340595.3	solute carrier family 4 (sodium bicarbonate cotransporter), member 4 	400	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0086	0.0622	0.4074	-0.04	-0.04	0.58	2005, 2007, 2009, 2011
WNT8B	ENST00000343737.5	wingless-type MMTV integration site family, member 8B 	25	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0017	0.0128	0.0892	-0.04	-0.12	0.36	NULL
EIF3H	ENST00000521861.1	eukaryotic translation initiation factor 3, subunit H 	27	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0040	0.0290	0.1893	-0.04	-0.06	0.36	NULL
ARHGAP35	ENST00000404338.3	Rho GTPase activating protein 35 	278	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0094	0.0687	0.4719	-0.04	-0.04	0.35	2009, 2011
SHB	ENST00000377707.3	Src homology 2 domain containing adaptor protein B 	1436	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0027	0.0195	0.1125	-0.04	-0.09	0.36	2007, 2009, 2011
CASZ1	ENST00000377022.3	castor zinc finger 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0043	0.0312	0.1976	-0.04	-0.04	0.36	2007, 2009, 2011
CDK5R1	ENST00000313401.3	cyclin-dependent kinase 5, regulatory subunit 1 (p35) 	335	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0043	0.0312	0.2180	-0.04	-0.04	0.34	2009, 2011
CYB5B	ENST00000512062.1	cytochrome b5 type B (outer mitochondrial membrane) 	2472	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0025	0.0182	0.1220	-0.04	-0.18	0.35	2007
TEAD1	ENST00000361905.4	TEA domain family member 1 (SV40 transcriptional enhancer factor) 	740	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0083	0.0605	0.4132	-0.04	-0.04	0.35	2009, 2011
NOTCH2	ENST00000256646.2	notch 2 	734	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0089	0.0639	0.3910	-0.04	-0.04	0.36	2009, 2011
SOX6	ENST00000316399.6	SRY (sex determining region Y)-box 6 	22	2	0	0	2	2	0	0	2	2	hsa-miR-375	0.0075	0.0542	0.3375	-0.03	-0.10	0.59	2007, 2009, 2011
BACH2	ENST00000257749.4	BTB and CNC homology 1, basic leucine zipper transcription factor 2 	74	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0067	0.0485	0.3266	-0.03	-0.04	0.36	2009, 2011
EXT2	ENST00000395673.3	exostosin glycosyltransferase 2 	896	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0033	0.0239	0.1654	-0.03	-0.10	0.36	NULL
CCDC171	ENST00000380701.3	coiled-coil domain containing 171 	25	1	0	0	1	0	0	0	0	4	hsa-miR-375	0.0049	0.0359	0.2458	-0.03	-0.06	0.36	NULL
ERC1	ENST00000355446.5	ELKS/RAB6-interacting/CAST family member 1 	159	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0095	0.0689	0.4370	-0.03	-0.03	0.59	2011
NFIX	ENST00000360105.4	nuclear factor I/X (CCAAT-binding transcription factor) 	24	1	1	0	0	1	0	0	1	1	hsa-miR-375	0.0063	0.0458	0.3007	-0.03	-0.05	< 0.1	2005, 2007, 2009, 2011
KLF8	ENST00000468660.1	Kruppel-like factor 8 	8	1	0	0	1	2	0	0	2	1	hsa-miR-375	0.0035	0.0255	0.1660	-0.03	-0.08	0.38	NULL
PURB	ENST00000395699.2	purine-rich element binding protein B 	497	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0078	0.0565	0.3822	-0.03	-0.06	0.36	2005, 2007, 2009, 2011
MED13	ENST00000397786.2	mediator complex subunit 13 	561	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0085	0.0621	0.4198	-0.03	-0.08	0.35	2007, 2009, 2011
AP1S1	ENST00000337619.5	adaptor-related protein complex 1, sigma 1 subunit 	750	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0017	0.0128	0.0869	-0.03	-0.21	0.36	NULL
BCORL1	ENST00000540052.1	BCL6 corepressor-like 1 	209	1	0	1	0	0	0	0	0	0	hsa-miR-375	0.0045	0.0326	0.2145	-0.03	-0.07	< 0.1	2009, 2011
PDK3	ENST00000441463.2	pyruvate dehydrogenase kinase, isozyme 3 	659	1	0	0	1	1	0	1	0	3	hsa-miR-375	0.0098	0.0706	0.4437	-0.03	-0.05	0.36	2011
DLG3	ENST00000194900.4	discs, large homolog 3 (Drosophila) 	185	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0055	0.0407	0.2884	-0.03	-0.05	0.38	2005, 2007, 2009, 2011
SLC7A11	ENST00000280612.5	solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11 	61	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0033	0.0243	0.1627	-0.03	-0.07	0.56	2007, 2011
KIAA1549L	ENST00000321505.4	KIAA1549-like 	117	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0114	0.0816	0.4924	-0.02	-0.04	0.36	2009, 2011
PPARGC1B	ENST00000309241.5	peroxisome proliferator-activated receptor gamma, coactivator 1 beta 	12	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0047	0.0345	0.2315	-0.02	-0.02	0.36	2011
LHX9	ENST00000367390.3	LIM homeobox 9 	40	1	0	0	1	2	0	0	2	1	hsa-miR-375	0.0077	0.0559	0.3711	-0.02	-0.05	< 0.1	NULL
SOGA3	ENST00000556132.1	SOGA family member 3 	95	1	0	0	1	0	0	0	0	4	hsa-miR-375	0.0065	0.0477	0.3262	-0.02	-0.02	< 0.1	NULL
SETX	ENST00000224140.5	senataxin 	270	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0075	0.0544	0.3657	-0.02	-0.05	0.34	NULL
UNC13A	ENST00000519716.2	unc-13 homolog A (C. elegans) 	5	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0101	0.0736	0.4888	-0.02	-0.02	0.36	2009, 2011
COL4A4	ENST00000396625.3	collagen, type IV, alpha 4 	133	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0055	0.0398	0.2672	-0.02	-0.02	0.47	NULL
EMC3	ENST00000245046.2	ER membrane protein complex subunit 3 	4423	1	0	0	1	2	0	0	2	1	hsa-miR-375	0.0012	0.0085	0.0565	-0.02	-0.38	0.37	NULL
SLC31A1	ENST00000374212.4	solute carrier family 31 (copper transporter), member 1 	171	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0008	0.0055	0.0336	-0.02	-0.16	0.36	2009, 2011
KLF12	ENST00000377669.2	Kruppel-like factor 12 	251	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0095	0.0692	0.4782	-0.02	-0.05	0.36	2009, 2011
CPPED1	ENST00000381774.4	calcineurin-like phosphoesterase domain containing 1 	511	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0011	0.0080	0.0534	-0.02	-0.17	0.35	2011
ARHGEF12	ENST00000397843.2	Rho guanine nucleotide exchange factor (GEF) 12 	815	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0080	0.0587	0.4083	-0.02	-0.03	0.39	2005, 2007, 2009, 2011
DACH1	ENST00000305425.4	dachshund homolog 1 (Drosophila) 	18	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0027	0.0200	0.1402	-0.02	-0.06	0.34	NULL
SAR1A	ENST00000373242.2	SAR1 homolog A (S. cerevisiae) 	253	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0010	0.0073	0.0474	-0.02	-0.13	0.35	NULL
RBM27	ENST00000265271.5	RNA binding motif protein 27 	130	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0034	0.0249	0.1746	-0.02	-0.02	0.35	2011
CDC37L1	ENST00000381854.3	cell division cycle 37-like 1 	280	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0012	0.0087	0.0586	-0.01	-0.13	0.34	NULL
AGPS	ENST00000264167.4	alkylglycerone phosphate synthase 	1610	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0029	0.0214	0.1535	-0.01	-0.02	0.35	2011
PHLDA1	ENST00000602540.1	pleckstrin homology-like domain, family A, member 1 	3907	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0016	0.0114	0.0713	-0.01	-0.07	0.36	2007, 2009, 2011
HOXD12	ENST00000404162.2	homeobox D12 	6	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0010	0.0071	0.0453	-0.01	-0.10	0.35	NULL
HNRNPD	ENST00000313899.7	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) 	1763	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0012	0.0088	0.0606	-0.01	-0.17	0.35	NULL
SRRM3	ENST00000326382.8	serine/arginine repetitive matrix 3 	16	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0028	0.0208	0.1466	-0.01	-0.01	0.35	2011
OTUD7B	ENST00000369135.4	OTU domain containing 7B 	299	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0038	0.0278	0.1921	-0.01	-0.03	0.34	NULL
CORO2A	ENST00000343933.5	coronin, actin binding protein, 2A 	493	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0021	0.0153	0.1039	-0.01	-0.08	0.36	2011
