Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
GAB1	ENST00000262995.4	GRB2-associated binding protein 1 	26	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0031	0.023	0.1581	-0.07	-0.1	N/A	NULL
ATXN2	ENST00000550104.1	ataxin 2 	7	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0023	0.0169	0.1186	-0.07	-0.07	N/A	NULL
YY1	ENST00000262238.4	YY1 transcription factor 	1803	1	1	0	0	1	0	0	1	1	hsa-miR-544a	0.003	0.0221	0.1497	-0.07	-0.09	N/A	NULL
MAFG	ENST00000357736.4	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G 	5	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0.0012	0.0087	0.0624	-0.07	-0.07	N/A	NULL
11-Sep	ENST00000264893.6	septin 11 	515	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0042	0.031	0.2148	-0.07	-0.07	N/A	NULL
SLC35A4	ENST00000323146.3	"solute carrier family 35, member A4 "	334	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.001	0.0074	0.0529	-0.07	-0.07	N/A	NULL
CDC27	ENST00000066544.3	cell division cycle 27 	438	1	1	0	0	0	0	0	0	2	hsa-miR-544a	0.0026	0.0194	0.1342	-0.07	-0.07	N/A	NULL
ZNRF3	ENST00000544604.2	zinc and ring finger 3 	179	1	0	1	0	0	0	0	0	5	hsa-miR-544a	0.0024	0.0174	0.1265	-0.07	-0.16	N/A	NULL
UFL1	ENST00000369278.4	UFM1-specific ligase 1 	298	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0033	0.0241	0.1604	-0.07	-0.07	N/A	NULL
FAM53C	ENST00000513056.1	"family with sequence similarity 53, member C "	592	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0021	0.0157	0.1108	-0.06	-0.07	N/A	NULL
ZNF638	ENST00000355812.3	zinc finger protein 638 	15	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0026	0.0193	0.139	-0.06	-0.06	N/A	NULL
DCTN3	ENST00000447983.2	dynactin 3 (p22) 	1816	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0005	0.0039	0.0279	-0.06	-0.06	N/A	NULL
TRIM71	ENST00000383763.5	"tripartite motif containing 71, E3 ubiquitin protein ligase "	67	2	0	1	1	0	0	0	0	2	hsa-miR-544a	0.0024	0.0175	0.1266	-0.06	-0.07	N/A	NULL
ATXN7	ENST00000295900.6	ataxin 7 	264	1	0	1	0	1	0	1	0	0	hsa-miR-544a	0.0017	0.0123	0.0868	-0.06	-0.07	N/A	NULL
DMXL1	ENST00000311085.8	Dmx-like 1 	136	1	0	1	0	1	1	0	0	1	hsa-miR-544a	0.0031	0.0231	0.1661	-0.06	-0.09	N/A	NULL
LEPROTL1	ENST00000321250.8	leptin receptor overlapping transcript-like 1 	1242	1	0	1	0	1	0	1	0	0	hsa-miR-544a	0.0006	0.0041	0.0283	-0.06	-0.24	N/A	NULL
GPT2	ENST00000340124.4	glutamic pyruvate transaminase (alanine aminotransferase) 2 	1750	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0009	0.0066	0.0477	-0.06	-0.1	N/A	NULL
SLC6A12	ENST00000359674.4	"solute carrier family 6 (neurotransmitter transporter), member 12 "	13	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0007	0.0049	0.0349	-0.06	-0.17	N/A	NULL
HSD17B13	ENST00000302219.6	hydroxysteroid (17-beta) dehydrogenase 13 	11	1	0	0	1	1	0	0	1	0	hsa-miR-544a	0.0008	0.0057	0.0411	-0.06	-0.13	N/A	NULL
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	1	0	1	0	2	0	1	1	0	hsa-miR-544a	0.002	0.0147	0.1046	-0.06	-0.06	N/A	NULL
YIPF4	ENST00000238831.4	"Yip1 domain family, member 4 "	3482	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0012	0.0091	0.0657	-0.06	-0.13	N/A	NULL
KIF2A	ENST00000381103.2	kinesin heavy chain member 2A 	905	1	1	0	0	1	1	0	0	1	hsa-miR-544a	0.0029	0.0211	0.1408	-0.06	-0.19	N/A	NULL
VAPB	ENST00000395802.3	VAMP (vesicle-associated membrane protein)-associated protein B and C 	391	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0035	0.0258	0.1762	-0.05	-0.06	N/A	NULL
MCM9	ENST00000316316.6	minichromosome maintenance complex component 9 	15	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0013	0.0094	0.0685	-0.05	-0.05	N/A	NULL
STC2	ENST00000265087.4	stanniocalcin 2 	1112	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0014	0.0104	0.0663	-0.05	-0.12	N/A	NULL
PTAR1	ENST00000377200.5	protein prenyltransferase alpha subunit repeat containing 1 	161	1	0	1	0	0	0	0	0	2	hsa-miR-544a	0.0025	0.0187	0.1354	-0.05	-0.08	N/A	NULL
ANKRD40	ENST00000285243.6	ankyrin repeat domain 40 	409	1	0	1	0	1	0	1	0	0	hsa-miR-544a	0.0003	0.0024	0.0171	-0.05	-0.3	N/A	NULL
RAPGEF6	ENST00000509018.1	Rap guanine nucleotide exchange factor (GEF) 6 	38	1	0	1	0	2	0	1	1	0	hsa-miR-544a	0.0024	0.0173	0.1249	-0.05	-0.05	N/A	NULL
GAPVD1	ENST00000470056.1	GTPase activating protein and VPS9 domains 1 	1805	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0023	0.017	0.1219	-0.05	-0.05	N/A	NULL
FLT1	ENST00000282397.4	fms-related tyrosine kinase 1 	7	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0033	0.0241	0.1677	-0.05	-0.05	N/A	NULL
FOXD3	ENST00000371116.2	forkhead box D3 	7	1	0	1	0	1	0	0	1	1	hsa-miR-544a	0.0006	0.0046	0.0322	-0.05	-0.22	N/A	NULL
ESR2	ENST00000557772.1	estrogen receptor 2 (ER beta) 	5	1	0	1	0	1	0	0	1	4	hsa-miR-544a	0.0026	0.019	0.1384	-0.05	-0.05	N/A	NULL
CTC-432M15.3	ENST00000514667.1	Folliculin-interacting protein 1  	38	1	0	1	0	2	0	1	1	0	hsa-miR-544a	0.0022	0.0164	0.1184	-0.05	-0.05	N/A	NULL
C10orf2	ENST00000370228.1	chromosome 10 open reading frame 2 	17	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0.0006	0.0044	0.0319	-0.05	-0.05	N/A	NULL
JAKMIP2	ENST00000507386.1	janus kinase and microtubule interacting protein 2 	26	1	0	0	1	2	0	0	2	2	hsa-miR-544a	0.0016	0.0121	0.0873	-0.05	-0.17	N/A	NULL
KRIT1	ENST00000394507.1	"KRIT1, ankyrin repeat containing "	574	1	1	0	0	0	0	0	0	2	hsa-miR-544a	0.0014	0.0103	0.0749	-0.05	-0.19	N/A	NULL
CCDC88A	ENST00000336838.6	coiled-coil domain containing 88A 	141	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0036	0.0264	0.1881	-0.04	-0.04	N/A	NULL
GABBR2	ENST00000259455.2	"gamma-aminobutyric acid (GABA) B receptor, 2 "	214	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0033	0.0241	0.1623	-0.04	-0.04	N/A	NULL
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	1	0	0	1	0	0	0	0	3	hsa-miR-544a	0.0035	0.0259	0.1864	-0.04	-0.05	N/A	NULL
CDC73	ENST00000367435.3	cell division cycle 73 	579	1	0	0	1	3	0	2	1	1	hsa-miR-544a	0.001	0.0077	0.0548	-0.04	-0.23	N/A	NULL
CCDC71L	ENST00000523505.1	coiled-coil domain containing 71-like 	410	1	1	0	0	1*	0	0	0	1	hsa-miR-544a	0.0007	0.0053	0.0377	-0.04	-0.08	N/A	NULL
EIF4E3	ENST00000425534.3	eukaryotic translation initiation factor 4E family member 3 	475	1	0	0	1	1	0	1	0	2	hsa-miR-544a	0.0011	0.0082	0.0578	-0.04	-0.15	N/A	NULL
SYNPO2L	ENST00000372873.4	synaptopodin 2-like 	5	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0022	0.0164	0.1126	-0.04	-0.04	N/A	NULL
SLC7A1	ENST00000380752.5	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 "	338	1	0	1	0	1	0	0	1	0	hsa-miR-544a	0.0015	0.0112	0.0794	-0.04	-0.05	N/A	NULL
ROCK1	ENST00000399799.2	"Rho-associated, coiled-coil containing protein kinase 1 "	7	1	1	0	0	1	0	0	1	0	hsa-miR-544a	0.0044	0.0322	0.2306	-0.04	-0.04	N/A	NULL
WNT10B	ENST00000407467.1	"wingless-type MMTV integration site family, member 10B "	13	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0006	0.0042	0.0301	-0.04	-0.04	N/A	NULL
CLPB	ENST00000294053.3	ClpB caseinolytic peptidase B homolog (E. coli) 	476	1	1	0	0	4	1	2	1	0	hsa-miR-544a	0.0029	0.0211	0.1397	-0.04	-0.28	N/A	NULL
FBXL4	ENST00000369244.2	F-box and leucine-rich repeat protein 4 	321	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0022	0.0164	0.1161	-0.04	-0.07	N/A	NULL
SH2B3	ENST00000341259.2	SH2B adaptor protein 3 	89	1	0	1	0	1	0	1	0	1	hsa-miR-544a	0.0015	0.011	0.079	-0.04	-0.04	N/A	NULL
HHIP	ENST00000296575.3	hedgehog interacting protein 	65	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0017	0.0125	0.0904	-0.04	-0.1	N/A	NULL
SRSF1	ENST00000258962.4	serine/arginine-rich splicing factor 1 	1430	1	0	1	0	2	0	1	1	0	hsa-miR-544a	0.001	0.0076	0.055	-0.03	-0.06	N/A	NULL
XIAP	ENST00000371199.3	X-linked inhibitor of apoptosis 	153	1	0	1	0	2	0	1	1	0	hsa-miR-544a	0.0024	0.0177	0.1277	-0.03	-0.05	N/A	NULL
GRIN2B	ENST00000609686.1	"glutamate receptor, ionotropic, N-methyl D-aspartate 2B "	5	1	0	0	1	1	0	1	0	5	hsa-miR-544a	0.0076	0.0556	0.3975	-0.03	-0.03	N/A	NULL
DACH1	ENST00000305425.4	dachshund homolog 1 (Drosophila) 	18	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0014	0.01	0.0722	-0.03	-0.04	N/A	NULL
KIAA0226	ENST00000273582.5	KIAA0226 	89	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0018	0.0129	0.0899	-0.03	-0.03	N/A	NULL
BICD2	ENST00000356884.6	bicaudal D homolog 2 (Drosophila) 	38	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0017	0.0127	0.0885	-0.03	-0.03	N/A	NULL
SCN2A	ENST00000375437.2	"sodium channel, voltage-gated, type II, alpha subunit "	7	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0041	0.0302	0.2029	-0.03	-0.03	N/A	NULL
PITPNM3	ENST00000421306.3	PITPNM family member 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.002	0.0147	0.1015	-0.03	-0.03	N/A	NULL
RGP1	ENST00000378078.4	RGP1 retrograde golgi transport homolog (S. cerevisiae) 	203	2	0	1	1	0	0	0	0	2	hsa-miR-544a	0.0008	0.0061	0.0432	-0.03	-0.06	N/A	NULL
KIAA1244	ENST00000251691.4	KIAA1244 	169	1	0	1	0	1	0	1	0	2	hsa-miR-544a	0.0023	0.0168	0.1207	-0.03	-0.04	N/A	NULL
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	1	0	1	0	1	0	0	1	1	hsa-miR-544a	0.0044	0.0322	0.2249	-0.03	-0.03	N/A	NULL
DIEXF	ENST00000491415.2	digestive organ expansion factor homolog (zebrafish) 	493	1	0	0	1	1	0	1	0	2	hsa-miR-544a	0.0022	0.0162	0.1158	-0.03	-0.04	N/A	NULL
ZXDB	ENST00000374888.1	"zinc finger, X-linked, duplicated B "	33	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.001	0.0071	0.0492	-0.03	-0.07	N/A	NULL
SMAD6	ENST00000288840.5	SMAD family member 6 	660	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0002	0.0012	0.0085	-0.03	-0.22	N/A	NULL
TMEM65	ENST00000297632.6	transmembrane protein 65 	769	1	0	1	0	1	0	0	1	0	hsa-miR-544a	0.0009	0.0065	0.0458	-0.02	-0.06	N/A	NULL
GPR144	ENST00000334810.1	G protein-coupled receptor 144 	5	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0007	0.0054	0.0388	-0.02	-0.02	N/A	NULL
SLC25A21	ENST00000331299.5	"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21 "	110	1	1	0	0	1	0	0	1	0	hsa-miR-544a	0.0009	0.0069	0.0478	-0.02	-0.21	N/A	NULL
ANKRD12	ENST00000262126.4	ankyrin repeat domain 12 	11	1	0	0	1	1	0	0	1	0	hsa-miR-544a	0.0034	0.0248	0.1788	-0.02	-0.03	N/A	NULL
RRAS2	ENST00000537760.1	related RAS viral (r-ras) oncogene homolog 2 	57	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0003	0.0025	0.0181	-0.02	-0.26	N/A	NULL
CDH6	ENST00000265071.2	"cadherin 6, type 2, K-cadherin (fetal kidney) "	213	1	0	1	0	3	0	2	1	1	hsa-miR-544a	0.0005	0.0035	0.0255	-0.02	-0.13	N/A	NULL
KIAA0556	ENST00000261588.4	KIAA0556 	169	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0005	0.0039	0.0282	-0.02	-0.02	N/A	NULL
OLIG3	ENST00000367734.2	oligodendrocyte transcription factor 3 	5	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0003	0.0021	0.0156	-0.02	-0.02	N/A	NULL
CHRM3	ENST00000255380.4	"cholinergic receptor, muscarinic 3 "	47	1	0	0	1	1	0	0	1	1	hsa-miR-544a	0.0009	0.0063	0.0449	-0.02	-0.06	N/A	NULL
PLAGL2	ENST00000246229.4	pleiomorphic adenoma gene-like 2 	254	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0004	0.003	0.0208	-0.02	-0.17	N/A	NULL
STK10	ENST00000176763.5	serine/threonine kinase 10 	655	1	0	1	0	1	0	0	1	0	hsa-miR-544a	0.0007	0.0052	0.0373	-0.02	-0.19	N/A	NULL
HEATR1	ENST00000366582.3	HEAT repeat containing 1 	282	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0023	0.0172	0.1239	-0.02	-0.07	N/A	NULL
NF1	ENST00000358273.4	neurofibromin 1 	161	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.003	0.022	0.1543	-0.02	-0.03	N/A	NULL
TBC1D12	ENST00000225235.4	"TBC1 domain family, member 12 "	172	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0012	0.0091	0.0661	-0.02	-0.02	N/A	NULL
SNX11	ENST00000393405.2	sorting nexin 11 	20	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0003	0.0022	0.0156	-0.01	-0.02	N/A	NULL
GATAD2B	ENST00000368655.4	GATA zinc finger domain containing 2B 	48	1	0	1	0	1	0	0	1	0	hsa-miR-544a	0.0009	0.0069	0.0498	-0.01	-0.03	N/A	NULL
CENPA	ENST00000335756.4	centromere protein A 	360	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0.0003	0.0023	0.0164	-0.01	-0.21	N/A	NULL
WAC	ENST00000375664.4	WW domain containing adaptor with coiled-coil 	322	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0011	0.0079	0.0573	-0.01	-0.04	N/A	NULL
XYLT1	ENST00000261381.6	xylosyltransferase I 	159	1	0	0	1	1	1	0	0	1	hsa-miR-544a	0.0012	0.009	0.064	-0.01	-0.04	N/A	NULL
MFRP	ENST00000555262.1	membrane frizzled-related protein 	5	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0005	0.004	0.0287	-0.01	-0.01	N/A	NULL
ALX1	ENST00000316824.3	ALX homeobox 1 	37	1	1	0	0	1	0	0	1	1	hsa-miR-544a	0.0002	0.0017	0.0116	-0.01	-0.25	N/A	NULL
XRRA1	ENST00000527087.1	X-ray radiation resistance associated 1 	136	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0004	0.0027	0.018	-0.01	-0.13	N/A	NULL
RSRC2	ENST00000331738.7	arginine/serine-rich coiled-coil 2 	320	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0014	0.0105	0.0757	-0.01	-0.15	N/A	NULL
METTL8	ENST00000375258.4	methyltransferase like 8 	124	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0019	0.0139	0.1004	-0.01	-0.03	N/A	NULL
SMAD2	ENST00000262160.6	SMAD family member 2 	1196	1	0	0	1	2*	0	1	0	1	hsa-miR-544a	0.0009	0.0063	0.0456	-0.01	-0.05	N/A	NULL
CENPM	ENST00000404067.1	centromere protein M 	68	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0001	0.0007	0.0047	-0.01	-0.16	N/A	NULL
RPGRIP1L	ENST00000262135.4	RPGRIP1-like 	55	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0013	0.0094	0.0682	0	-0.06	N/A	NULL
EVX1	ENST00000222761.3	even-skipped homeobox 1 	7	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0001	0.0004	0.0028	0	-0.02	N/A	NULL
VPS13A	ENST00000360280.3	vacuolar protein sorting 13 homolog A (S. cerevisiae) 	110	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0026	0.0193	0.1402	0	-0.03	N/A	NULL
NFE2L3	ENST00000056233.3	"nuclear factor, erythroid 2-like 3 "	36	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0.0009	0.0064	0.0464	0	-0.07	N/A	NULL
IRS4	ENST00000372129.2	insulin receptor substrate 4 	56	1	0	1	0	1	0	0	1	2	hsa-miR-544a	0.0003	0.0022	0.0163	0	-0.03	N/A	NULL
ETNK1	ENST00000266517.4	ethanolamine kinase 1 	1047	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0005	0.0033	0.0239	0	-0.02	N/A	NULL
ZFYVE9	ENST00000371591.1	"zinc finger, FYVE domain containing 9 "	32	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0012	0.0086	0.0611	0	-0.03	N/A	NULL
TFCP2L1	ENST00000263707.5	transcription factor CP2-like 1 	36	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0007	0.0055	0.0392	0	-0.02	N/A	NULL
GLG1	ENST00000422840.2	golgi glycoprotein 1 	2175	1	0	1	0	1	0	0	1	0	hsa-miR-544a	0.0006	0.0047	0.0338	0	-0.03	N/A	NULL
APOLD1	ENST00000356591.4	apolipoprotein L domain containing 1 	27	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0007	0.005	0.0364	0	-0.06	N/A	NULL
SFPQ	ENST00000357214.5	splicing factor proline/glutamine-rich 	4735	1	0	1	0	1	0	0	1	1	hsa-miR-544a	0	0.0003	0.0018	0	-0.12	N/A	NULL
GFRA1	ENST00000439649.3	GDNF family receptor alpha 1 	69	1	0	1	0	0	0	0	0	1	hsa-miR-544a	0.0004	0.0031	0.0224	0	-0.03	N/A	NULL
UMPS	ENST00000232607.2	uridine monophosphate synthetase 	374	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0002	0.0011	0.0079	0	-0.07	N/A	NULL
HDAC2	ENST00000519065.1	histone deacetylase 2 	1701	1	0	1	0	0	0	0	0	4	hsa-miR-544a	0.0001	0.0008	0.006	0	-0.17	N/A	NULL
KCNJ13	ENST00000409779.1	"potassium inwardly-rectifying channel, subfamily J, member 13 "	5	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0005	0.0039	0.028	0	-0.39	N/A	NULL
IFT74	ENST00000380062.5	intraflagellar transport 74 homolog (Chlamydomonas) 	246	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0002	0.0014	0.0105	0	-0.05	N/A	NULL
CDKN2C	ENST00000262662.1	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) "	708	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0	0.0001	0.0006	0	-0.04	N/A	NULL
PFN1	ENST00000225655.5	profilin 1 	7729	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.001	0.0076	0.0543	0	-0.21	N/A	NULL
LETMD1	ENST00000380123.2	LETM1 domain containing 1 	1619	1	0	1	0	1	0	1	0	1	hsa-miR-544a	0	0.0001	0.0006	0	-0.19	N/A	NULL
MSH3	ENST00000265081.6	mutS homolog 3 	443	1	1	0	0	1	0	1	0	1	hsa-miR-544a	0.0005	0.004	0.0295	0	-0.05	N/A	NULL
MRPL44	ENST00000258383.3	mitochondrial ribosomal protein L44 	347	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0001	0.0006	0.004	0	-0.03	N/A	NULL
AKR1D1	ENST00000432161.1	"aldo-keto reductase family 1, member D1 "	5	1	0	1	0	1	0	1	0	2	hsa-miR-544a	0	0.0003	0.0022	0	-0.16	N/A	NULL
CYB5B	ENST00000512062.1	cytochrome b5 type B (outer mitochondrial membrane) 	2472	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0.0001	0.0004	0.0033	0	-0.12	N/A	NULL
CHD7	ENST00000423902.2	chromodomain helicase DNA binding protein 7 	925	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0012	0.0085	0.0625	0	-0.02	N/A	NULL
SGSM2	ENST00000426855.2	small G protein signaling modulator 2 	381	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0.0007	0.0048	0.0351	0	-0.06	N/A	NULL
ATXN10	ENST00000252934.5	ataxin 10 	4734	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0002	0.0016	0.0114	0	-0.17	N/A	NULL
ALG14	ENST00000370205.5	"ALG14, UDP-N-acetylglucosaminyltransferase subunit "	572	1	0	0	1	0	0	0	0	1	hsa-miR-544a	0	0.0003	0.002	0	-0.01	N/A	NULL
ITGB1BP1	ENST00000360635.3	integrin beta 1 binding protein 1 	14310	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0	0.0002	0.0018	0	-0.2	N/A	NULL
ZMAT2	ENST00000274712.3	"zinc finger, matrin-type 2 "	1926	1	0	1	0	0	0	0	0	0	hsa-miR-544a	0.0002	0.0016	0.0121	0	-0.18	N/A	NULL
DLGAP3	ENST00000373347.1	"discs, large (Drosophila) homolog-associated protein 3 "	8	1	0	1	0	2	0	0	2	0	hsa-miR-544a	0.0001	0.0009	0.0063	0	-0.04	N/A	NULL
TNFAIP8L3	ENST00000327536.5	"tumor necrosis factor, alpha-induced protein 8-like 3 "	259	1	0	0	1	0	0	0	0	0	hsa-miR-544a	0.0005	0.0033	0.0243	0	-0.11	N/A	NULL
